time,FourEBP1,FourEBP1pT37_46,Akt,AktpS473,AktpT308,ER_alpha,Erk,pT202_Y204,GAPDH,IRS1,IRS1pS636_639,PRAS40,PRAS40pS183,PRAS40pT246,S6K,S6KpT229,S6KpT389,TSC2,TSC2pT1462,p38,p38_pT180_Y182,FourEBP1_indep,FourEBP1pT37_46_indep,Akt_indep,AktpS473_indep,AktpT308_indep,ER_alpha_indep,Erk_indep,pT202_Y204_indep,GAPDH_indep,IRS1_indep,IRS1pS636_639_indep,PRAS40_indep,PRAS40pS183_indep,PRAS40pT246_indep,S6K_indep,S6KpT229_indep,S6KpT389_indep,TSC2_indep,TSC2pT1462_indep,p38_indep,p38_pT180_Y182_indep,Insulin_indep
0,4.172579743,0.556931264,0.6137341789999999,0.406622062,0.47229663299999997,0.241969845,0.6951766420000001,0.604147827,1.1317451,0.333175628,0.251096855,0.97103277,0.425151251,0.5591841439999999,0.248916186,0.267099433,0.115078506,0.678573704,0.702480896,0.34248790100000004,2.006628894,4.172579743,0.556931264,0.6137341789999999,0.406622062,0.47229663299999997,0.241969845,0.6951766420000001,0.604147827,1.1317451,0.333175628,0.251096855,0.97103277,0.425151251,0.5591841439999999,0.248916186,0.267099433,0.115078506,0.678573704,0.702480896,0.34248790100000004,2.006628894,1.0
15,2.013440134,1.007795056,0.623204887,0.7718233170000001,0.697007255,0.200743172,0.700698863,1.636809804,1.103517398,0.647714044,0.318864457,0.9255565929999999,1.0757974479999999,0.901946905,0.276562159,0.445551005,0.185707445,0.658387771,0.751070895,0.28363838,1.6212869680000002,4.172579743,0.556931264,0.6137341789999999,0.406622062,0.47229663299999997,0.241969845,0.6951766420000001,0.604147827,1.1317451,0.333175628,0.251096855,0.97103277,0.425151251,0.5591841439999999,0.248916186,0.267099433,0.115078506,0.678573704,0.702480896,0.34248790100000004,2.006628894,1.0
30,1.706268533,1.0851439040000002,0.675691753,0.645721993,0.643060228,0.289999599,0.739100863,0.9854590520000001,1.1898791229999999,0.6152853229999999,0.8083076290000001,1.033517173,1.047716216,1.0970653940000001,0.303121598,0.581297331,0.273239368,0.673426964,0.746195343,0.411929824,1.6833721519999998,4.172579743,0.556931264,0.6137341789999999,0.406622062,0.47229663299999997,0.241969845,0.6951766420000001,0.604147827,1.1317451,0.333175628,0.251096855,0.97103277,0.425151251,0.5591841439999999,0.248916186,0.267099433,0.115078506,0.678573704,0.702480896,0.34248790100000004,2.006628894,1.0
60,2.4211921480000003,1.204996929,0.6071220310000001,0.7108204920000001,0.7939285209999999,0.262843688,0.777701788,0.732188035,1.187433547,0.71842279,0.934313037,1.0393180340000001,1.102090775,1.042203939,0.303642201,0.507287585,0.293790288,0.716943443,0.757245857,0.43670059299999997,1.227365058,4.172579743,0.556931264,0.6137341789999999,0.406622062,0.47229663299999997,0.241969845,0.6951766420000001,0.604147827,1.1317451,0.333175628,0.251096855,0.97103277,0.425151251,0.5591841439999999,0.248916186,0.267099433,0.115078506,0.678573704,0.702480896,0.34248790100000004,2.006628894,1.0
90,2.095680377,1.1365248940000001,0.702259248,0.774591348,0.723266083,0.293835845,0.864544326,0.739354772,1.6854888769999998,0.748062365,1.068987952,1.00636453,1.438772027,1.35004815,0.363995765,0.6611565229999999,0.28040011600000003,0.719777005,0.7859118209999999,0.509645945,1.82620454,4.172579743,0.556931264,0.6137341789999999,0.406622062,0.47229663299999997,0.241969845,0.6951766420000001,0.604147827,1.1317451,0.333175628,0.251096855,0.97103277,0.425151251,0.5591841439999999,0.248916186,0.267099433,0.115078506,0.678573704,0.702480896,0.34248790100000004,2.006628894,1.0
120,3.857802204,1.284406797,0.950643859,0.904077494,0.797626292,0.346806929,0.8523666679999999,0.927194098,1.70366565,0.548187255,1.080331093,1.185470691,1.906648981,1.551497074,0.36553135600000003,0.7408262240000001,0.340806114,0.908016457,1.014183373,0.555296025,3.503349782,4.172579743,0.556931264,0.6137341789999999,0.406622062,0.47229663299999997,0.241969845,0.6951766420000001,0.604147827,1.1317451,0.333175628,0.251096855,0.97103277,0.425151251,0.5591841439999999,0.248916186,0.267099433,0.115078506,0.678573704,0.702480896,0.34248790100000004,2.006628894,1.0
