time,FourEBP1pT37_46,AktpS473_obs,AktpT308_obs,ErkpT202_Y204,IRS1pS636_639_obs,PRAS40pS183_obs,PRAS40pT246_obs,S6KpT229_obs,S6KpT389_obs,TSC2pT1462_obs,p38pT180Y182_obs,FourEBP1pT37_46_indep,AktpS473_indep,AktpT308_indep,ErkpT202_Y204_indep,IRS1pS636_639_indep,PRAS40pS183_indep,PRAS40pT246_indep,S6KpT229_indep,S6KpT389_indep,TSC2pT1462_indep,p38pT180Y182_indep,Insulin_indep
0,0.650534176,0.22656844399999998,0.553566373,0.18168555399999997,0.495991239,0.47369677200000004,0.37339247299999995,0.292058949,0.17799185399999998,0.6119127089999999,0.41646923399999997,0.650534176,0.22656844399999998,0.553566373,0.18168555399999997,0.495991239,0.47369677200000004,0.37339247299999995,0.292058949,0.17799185399999998,0.6119127089999999,0.41646923399999997,1.0
15,0.8970784070000001,0.878019005,0.9480542209999999,1.0,0.709066173,0.831121476,0.9211100529999999,0.441658365,0.455217014,1.0,1.0,0.650534176,0.22656844399999998,0.553566373,0.18168555399999997,0.495991239,0.47369677200000004,0.37339247299999995,0.292058949,0.17799185399999998,0.6119127089999999,0.41646923399999997,1.0
30,1.0,0.894386522,0.840258915,0.399563469,0.670575984,0.9205830159999999,1.0,0.642047481,0.713488795,0.9423766579999999,0.445269155,0.650534176,0.22656844399999998,0.553566373,0.18168555399999997,0.495991239,0.47369677200000004,0.37339247299999995,0.292058949,0.17799185399999998,0.6119127089999999,0.41646923399999997,1.0
60,0.934098141,0.961424585,0.9784835609999999,0.301228454,0.645541758,0.836369427,0.961007031,0.7904456209999999,0.934104926,0.948629487,0.6352503660000001,0.650534176,0.22656844399999998,0.553566373,0.18168555399999997,0.495991239,0.47369677200000004,0.37339247299999995,0.292058949,0.17799185399999998,0.6119127089999999,0.41646923399999997,1.0
90,0.8715229090000001,0.8796274390000001,0.856629612,0.296227675,1.0,0.818084899,0.9552279840000001,0.8644590790000001,0.8695735290000001,0.8666899990000001,0.297555773,0.650534176,0.22656844399999998,0.553566373,0.18168555399999997,0.495991239,0.47369677200000004,0.37339247299999995,0.292058949,0.17799185399999998,0.6119127089999999,0.41646923399999997,1.0
120,0.833332181,1.0,1.0,0.311705415,0.952145879,1.0,0.9716279290000001,1.0,1.0,0.937587437,0.312364488,0.650534176,0.22656844399999998,0.553566373,0.18168555399999997,0.495991239,0.47369677200000004,0.37339247299999995,0.292058949,0.17799185399999998,0.6119127089999999,0.41646923399999997,1.0
