time,FourEBP1,FourEBP1pT37_46,Akt,AktpS473,AktpT308,ER_alpha,Erk,pT202_Y204,GAPDH,IRS1,IRS1pS636_639,PRAS40,PRAS40pS183,PRAS40pT246,S6K,S6KpT229,S6KpT389,TSC2,TSC2pT1462,p38,p38_pT180_Y182,FourEBP1_indep,FourEBP1pT37_46_indep,Akt_indep,AktpS473_indep,AktpT308_indep,ER_alpha_indep,Erk_indep,pT202_Y204_indep,GAPDH_indep,IRS1_indep,IRS1pS636_639_indep,PRAS40_indep,PRAS40pS183_indep,PRAS40pT246_indep,S6K_indep,S6KpT229_indep,S6KpT389_indep,TSC2_indep,TSC2pT1462_indep,p38_indep,p38_pT180_Y182_indep,Insulin_indep
0,1.680339689,0.8614803,0.480644401,0.609735181,0.78952188,0.26250024,0.496601777,0.650318765,0.35083417299999997,0.22969349,0.333228994,0.88678324,0.6222048689999999,0.859331603,0.490174405,0.143081801,0.229569252,0.75976166,0.756760647,0.76705868,2.492842092,1.680339689,0.8614803,0.480644401,0.609735181,0.78952188,0.26250024,0.496601777,0.650318765,0.35083417299999997,0.22969349,0.333228994,0.88678324,0.6222048689999999,0.859331603,0.490174405,0.143081801,0.229569252,0.75976166,0.756760647,0.76705868,2.492842092,1.0
15,2.0080206069999997,1.7535825440000001,0.48914812,0.959880617,1.5704356780000002,0.19010365199999998,0.507056953,6.391875411,0.336393447,0.284317535,0.6821279179999999,1.001105004,1.0338201120000001,1.058764389,0.710073272,0.24700884899999997,0.257249222,0.724391606,0.8737335070000001,0.838869674,7.4173890039999995,1.680339689,0.8614803,0.480644401,0.609735181,0.78952188,0.26250024,0.496601777,0.650318765,0.35083417299999997,0.22969349,0.333228994,0.88678324,0.6222048689999999,0.859331603,0.490174405,0.143081801,0.229569252,0.75976166,0.756760647,0.76705868,2.492842092,1.0
30,2.146799877,1.639427699,0.513399408,1.038272644,1.731363077,0.18382769,0.52845011,4.024592985,0.41388819200000004,0.25832305899999997,0.784616196,0.9883530709999999,1.090496188,1.0156711840000001,0.586104341,0.283373524,0.25379087899999997,0.849484433,0.847715352,0.624550514,3.2929026789999996,1.680339689,0.8614803,0.480644401,0.609735181,0.78952188,0.26250024,0.496601777,0.650318765,0.35083417299999997,0.22969349,0.333228994,0.88678324,0.6222048689999999,0.859331603,0.490174405,0.143081801,0.229569252,0.75976166,0.756760647,0.76705868,2.492842092,1.0
60,2.054655314,1.5415172730000002,0.5364281120000001,0.967718519,1.420798035,0.23217247,0.525430199,1.4389266719999998,0.468254506,0.27398834899999996,0.45735570200000003,0.991821611,1.1962088709999998,0.942790248,0.561906018,0.247815895,0.252437811,0.840977882,0.8210759940000001,0.637050583,2.3155892369999997,1.680339689,0.8614803,0.480644401,0.609735181,0.78952188,0.26250024,0.496601777,0.650318765,0.35083417299999997,0.22969349,0.333228994,0.88678324,0.6222048689999999,0.859331603,0.490174405,0.143081801,0.229569252,0.75976166,0.756760647,0.76705868,2.492842092,1.0
90,1.895610605,1.52351693,0.530392939,0.969889557,1.273870984,0.23316416,0.555171469,1.307633203,0.395479177,0.320455001,0.5522803470000001,1.0189498959999999,1.171715745,1.027249847,0.537326569,0.260807926,0.267464382,0.9028345440000001,0.8744300420000001,0.629212683,2.274660484,1.680339689,0.8614803,0.480644401,0.609735181,0.78952188,0.26250024,0.496601777,0.650318765,0.35083417299999997,0.22969349,0.333228994,0.88678324,0.6222048689999999,0.859331603,0.490174405,0.143081801,0.229569252,0.75976166,0.756760647,0.76705868,2.492842092,1.0
120,1.875869472,1.611208795,0.583616285,0.954246195,1.056655493,0.22049908699999998,0.5850215679999999,1.3088342259999999,0.579718258,0.369783399,0.41694256399999996,1.0064264059999999,1.226267402,0.957942945,0.543670516,0.263029243,0.263184425,0.86023569,0.842901756,0.671576631,2.100575961,1.680339689,0.8614803,0.480644401,0.609735181,0.78952188,0.26250024,0.496601777,0.650318765,0.35083417299999997,0.22969349,0.333228994,0.88678324,0.6222048689999999,0.859331603,0.490174405,0.143081801,0.229569252,0.75976166,0.756760647,0.76705868,2.492842092,1.0
