time,FourEBP1,FourEBP1pT37_46,Akt,AktpS473,AktpT308,ER_alpha,Erk,pT202_Y204,GAPDH,IRS1,IRS1pS636_639,PRAS40,PRAS40pS183,PRAS40pT246,S6K,S6KpT229,S6KpT389,TSC2,TSC2pT1462,p38,p38_pT180_Y182,FourEBP1_indep,FourEBP1pT37_46_indep,Akt_indep,AktpS473_indep,AktpT308_indep,ER_alpha_indep,Erk_indep,pT202_Y204_indep,GAPDH_indep,IRS1_indep,IRS1pS636_639_indep,PRAS40_indep,PRAS40pS183_indep,PRAS40pT246_indep,S6K_indep,S6KpT229_indep,S6KpT389_indep,TSC2_indep,TSC2pT1462_indep,p38_indep,p38_pT180_Y182_indep,Insulin_indep
0,0.498102259,0.18343654199999998,0.873254803,0.450514791,0.562101421,1.0,0.806007307,0.144150213,1.0,0.848010149,0.302391055,0.99787846,0.384091323,0.39255472399999997,0.598594089,0.395760674,0.187330833,0.857350886,0.7098128,1.0,0.891220006,0.498102259,0.18343654199999998,0.873254803,0.450514791,0.562101421,1.0,0.806007307,0.144150213,1.0,0.848010149,0.302391055,0.99787846,0.384091323,0.39255472399999997,0.598594089,0.395760674,0.187330833,0.857350886,0.7098128,1.0,0.891220006,1.0
15,0.542592466,0.87218084,0.8641489059999999,0.8656445490000001,0.859015981,0.45834183100000003,0.818910294,1.0,0.9530751940000001,0.623766603,0.575993561,0.9977155240000001,0.822489522,0.940835805,0.690940918,0.63722278,0.422670462,0.8243524609999999,0.8483707909999999,0.923668142,1.0,0.498102259,0.18343654199999998,0.873254803,0.450514791,0.562101421,1.0,0.806007307,0.144150213,1.0,0.848010149,0.302391055,0.99787846,0.384091323,0.39255472399999997,0.598594089,0.395760674,0.187330833,0.857350886,0.7098128,1.0,0.891220006,1.0
30,1.0,1.0,0.966732458,0.9222174940000001,0.957172059,0.436524089,0.909771928,0.444692185,0.859820843,1.0,0.886817711,0.9940102679999999,1.0,1.0,1.0,0.84157336,0.7749468429999999,1.0,0.973755713,0.897331234,0.94781191,0.498102259,0.18343654199999998,0.873254803,0.450514791,0.562101421,1.0,0.806007307,0.144150213,1.0,0.848010149,0.302391055,0.99787846,0.384091323,0.39255472399999997,0.598594089,0.395760674,0.187330833,0.857350886,0.7098128,1.0,0.891220006,1.0
60,0.8632302140000001,0.9416857820000001,0.983583132,1.0,1.0,0.42272979899999996,1.0,0.418337969,0.933045323,0.42976690700000003,1.0,1.0,0.884960799,0.99738101,0.903691696,0.9798405109999999,0.918430792,0.952805476,0.93764155,0.852626195,0.974437763,0.498102259,0.18343654199999998,0.873254803,0.450514791,0.562101421,1.0,0.806007307,0.144150213,1.0,0.848010149,0.302391055,0.99787846,0.384091323,0.39255472399999997,0.598594089,0.395760674,0.187330833,0.857350886,0.7098128,1.0,0.891220006,1.0
90,0.720667685,0.85132991,1.0,0.905177902,0.902131424,0.37481438799999994,0.954581907,0.35650222200000004,0.970123572,0.662084439,0.873459852,0.9897258940000001,0.911913003,0.96797259,0.9179713740000001,0.9817666290000001,1.0,0.925456835,1.0,0.9146733840000001,0.876387707,0.498102259,0.18343654199999998,0.873254803,0.450514791,0.562101421,1.0,0.806007307,0.144150213,1.0,0.848010149,0.302391055,0.99787846,0.384091323,0.39255472399999997,0.598594089,0.395760674,0.187330833,0.857350886,0.7098128,1.0,0.891220006,1.0
120,0.549183172,0.7261067959999999,0.882395708,0.753905477,0.839054975,0.258764827,0.827667805,0.315844937,0.93526356,0.24732542600000001,0.89614634,0.8842307209999999,0.8143185829999999,0.835571856,0.72721161,1.0,0.9309507229999999,0.93188383,0.843263804,0.8717570990000001,0.450726933,0.498102259,0.18343654199999998,0.873254803,0.450514791,0.562101421,1.0,0.806007307,0.144150213,1.0,0.848010149,0.302391055,0.99787846,0.384091323,0.39255472399999997,0.598594089,0.395760674,0.187330833,0.857350886,0.7098128,1.0,0.891220006,1.0
