time,FourEBP1,FourEBP1pT37_46,Akt,AktpS473,AktpT308,ER_alpha,Erk,pT202_Y204,GAPDH,IRS1,IRS1pS636_639,PRAS40,PRAS40pS183,PRAS40pT246,S6K,S6KpT229,S6KpT389,TSC2,TSC2pT1462,p38,p38_pT180_Y182,FourEBP1_indep,FourEBP1pT37_46_indep,Akt_indep,AktpS473_indep,AktpT308_indep,ER_alpha_indep,Erk_indep,pT202_Y204_indep,GAPDH_indep,IRS1_indep,IRS1pS636_639_indep,PRAS40_indep,PRAS40pS183_indep,PRAS40pT246_indep,S6K_indep,S6KpT229_indep,S6KpT389_indep,TSC2_indep,TSC2pT1462_indep,p38_indep,p38_pT180_Y182_indep,Insulin_indep
0,1.852996749,0.75876811,0.819798329,0.027908867,,0.31320021,0.873142968,0.418514027,1.474298717,0.221054451,0.137363603,0.916482896,0.339828863,0.223518414,0.23320743,0.070591013,0.11454029,0.806130094,0.27446693699999997,0.495211787,0.85326637,1.852996749,0.75876811,0.819798329,0.027908867,,0.31320021,0.873142968,0.418514027,1.474298717,0.221054451,0.137363603,0.916482896,0.339828863,0.223518414,0.23320743,0.070591013,0.11454029,0.806130094,0.27446693699999997,0.495211787,0.85326637,1.0
15,3.2741764360000003,1.014217422,0.92300488,0.345362501,,0.382450988,0.843692949,1.077195347,1.353154635,0.301906573,0.156039266,1.21722024,0.5137753979999999,0.581479078,0.24152955,0.08971027300000001,0.173039897,0.860866076,0.529255953,0.433745731,1.9831766309999999,1.852996749,0.75876811,0.819798329,0.027908867,,0.31320021,0.873142968,0.418514027,1.474298717,0.221054451,0.137363603,0.916482896,0.339828863,0.223518414,0.23320743,0.070591013,0.11454029,0.806130094,0.27446693699999997,0.495211787,0.85326637,1.0
30,2.4479018480000003,2.346165292,0.799898462,0.813413257,,0.332055149,0.807518253,1.417586068,1.353880856,0.326967131,0.28169632,1.2915479570000001,1.204312578,1.11201043,0.20556893399999998,0.219433762,0.349326297,0.781422176,0.718362362,0.531941061,3.416109079,1.852996749,0.75876811,0.819798329,0.027908867,,0.31320021,0.873142968,0.418514027,1.474298717,0.221054451,0.137363603,0.916482896,0.339828863,0.223518414,0.23320743,0.070591013,0.11454029,0.806130094,0.27446693699999997,0.495211787,0.85326637,1.0
60,2.478013699,2.372094942,0.869918413,0.355140899,,0.380447194,0.839559194,0.515269658,1.231099753,0.31263566800000003,0.278355482,1.3077857309999998,1.220771935,1.140403728,0.20881366,0.31852312899999996,0.5468624529999999,0.779208584,0.702743234,0.593583779,0.72576179,1.852996749,0.75876811,0.819798329,0.027908867,,0.31320021,0.873142968,0.418514027,1.474298717,0.221054451,0.137363603,0.916482896,0.339828863,0.223518414,0.23320743,0.070591013,0.11454029,0.806130094,0.27446693699999997,0.495211787,0.85326637,1.0
90,1.95375663,1.569601084,0.766326451,0.296200611,,0.288850416,0.827420145,0.5109801589999999,1.234111805,0.263645795,0.192028267,1.1350781159999999,0.979616013,1.083186057,0.20300538199999998,0.314959779,0.6678049429999999,0.754229503,0.739890536,0.571820294,0.582706696,1.852996749,0.75876811,0.819798329,0.027908867,,0.31320021,0.873142968,0.418514027,1.474298717,0.221054451,0.137363603,0.916482896,0.339828863,0.223518414,0.23320743,0.070591013,0.11454029,0.806130094,0.27446693699999997,0.495211787,0.85326637,1.0
120,2.301836418,1.7024911619999998,0.953367266,0.21448657100000001,,0.276927926,0.6772057920000001,0.48341006200000003,1.358444019,0.247402405,0.250008444,1.201956622,1.088673572,0.995861408,0.17671494699999998,0.28854173699999996,0.656824988,0.7250090490000001,0.566159614,0.735656346,0.558766192,1.852996749,0.75876811,0.819798329,0.027908867,,0.31320021,0.873142968,0.418514027,1.474298717,0.221054451,0.137363603,0.916482896,0.339828863,0.223518414,0.23320743,0.070591013,0.11454029,0.806130094,0.27446693699999997,0.495211787,0.85326637,1.0
