time,FourEBP1pT37_46,AktpS473_obs,AktpT308_obs,ErkpT202_Y204,IRS1pS636_639_obs,PRAS40pS183_obs,PRAS40pT246_obs,S6KpT229_obs,S6KpT389_obs,TSC2pT1462_obs,p38pT180Y182_obs,FourEBP1pT37_46_indep,AktpS473_indep,AktpT308_indep,ErkpT202_Y204_indep,IRS1pS636_639_indep,PRAS40pS183_indep,PRAS40pT246_indep,S6KpT229_indep,S6KpT389_indep,TSC2pT1462_indep,p38pT180Y182_indep,Insulin_indep
0,0.7135879690000001,0.744302256,0.7491642279999999,0.666692206,0.22873126600000002,0.76280946,1.089028705,0.36483050100000003,0.290725732,1.042245654,1.528318382,0.7135879690000001,0.744302256,0.7491642279999999,0.666692206,0.22873126600000002,0.76280946,1.089028705,0.36483050100000003,0.290725732,1.042245654,1.528318382,1.0
15,1.24650002,0.992348709,1.35972982,9.484696454,0.27474375,1.272684238,1.114892018,0.322716489,0.25227907899999996,1.064400784,3.346762057,0.7135879690000001,0.744302256,0.7491642279999999,0.666692206,0.22873126600000002,0.76280946,1.089028705,0.36483050100000003,0.290725732,1.042245654,1.528318382,1.0
30,1.318709172,1.10157445,1.2697041,4.086312819,0.369880848,1.047684621,1.142414764,0.42640936700000004,0.309135761,0.89875849,2.008075264,0.7135879690000001,0.744302256,0.7491642279999999,0.666692206,0.22873126600000002,0.76280946,1.089028705,0.36483050100000003,0.290725732,1.042245654,1.528318382,1.0
60,1.521383766,1.157814735,1.399173334,1.149929013,0.22828183600000002,1.3633153040000001,1.1901295920000001,0.33882357399999996,0.31394679,1.0389581,1.140530934,0.7135879690000001,0.744302256,0.7491642279999999,0.666692206,0.22873126600000002,0.76280946,1.089028705,0.36483050100000003,0.290725732,1.042245654,1.528318382,1.0
90,1.406126327,1.126422267,1.12129662,1.152096058,0.20226025,1.28124812,1.251801289,0.30986672,0.31516081,0.994735211,1.190333547,0.7135879690000001,0.744302256,0.7491642279999999,0.666692206,0.22873126600000002,0.76280946,1.089028705,0.36483050100000003,0.290725732,1.042245654,1.528318382,1.0
120,1.370782722,0.835340819,1.01067938,1.277191659,0.244792573,1.169979222,1.340455309,0.377690469,0.33868910399999996,1.065903067,1.169196453,0.7135879690000001,0.744302256,0.7491642279999999,0.666692206,0.22873126600000002,0.76280946,1.089028705,0.36483050100000003,0.290725732,1.042245654,1.528318382,1.0
