time,FourEBP1,FourEBP1pT37_46,Akt,AktpS473,AktpT308,ER_alpha,Erk,pT202_Y204,GAPDH,IRS1,IRS1pS636_639,PRAS40,PRAS40pS183,PRAS40pT246,S6K,S6KpT229,S6KpT389,TSC2,TSC2pT1462,p38,p38_pT180_Y182,FourEBP1_indep,FourEBP1pT37_46_indep,Akt_indep,AktpS473_indep,AktpT308_indep,ER_alpha_indep,Erk_indep,pT202_Y204_indep,GAPDH_indep,IRS1_indep,IRS1pS636_639_indep,PRAS40_indep,PRAS40pS183_indep,PRAS40pT246_indep,S6K_indep,S6KpT229_indep,S6KpT389_indep,TSC2_indep,TSC2pT1462_indep,p38_indep,p38_pT180_Y182_indep,Insulin_indep
0,1.380466165,0.668907657,0.515156049,0.726993155,0.78229123,0.12027324,0.6432831170000001,0.324765009,0.190373507,0.116243253,0.241165811,0.7816170240000001,0.720898348,0.741405427,0.302401892,0.049136448,0.101495109,0.700995505,0.764213308,0.662519277,1.475208681,1.380466165,0.668907657,0.515156049,0.726993155,0.78229123,0.12027324,0.6432831170000001,0.324765009,0.190373507,0.116243253,0.241165811,0.7816170240000001,0.720898348,0.741405427,0.302401892,0.049136448,0.101495109,0.700995505,0.764213308,0.662519277,1.475208681,1.0
15,1.474196272,0.9534872240000001,0.501303477,1.4395077509999998,1.4525963219999998,0.17192650899999998,0.754194134,5.762651429,0.19712333199999998,0.146399025,0.353977904,0.945680437,1.114737273,0.999991827,0.338740654,0.17453668600000002,0.16439420400000002,0.75452776,1.305030723,0.704047105,4.8906421710000005,1.380466165,0.668907657,0.515156049,0.726993155,0.78229123,0.12027324,0.6432831170000001,0.324765009,0.190373507,0.116243253,0.241165811,0.7816170240000001,0.720898348,0.741405427,0.302401892,0.049136448,0.101495109,0.700995505,0.764213308,0.662519277,1.475208681,1.0
30,1.635829847,1.04038327,0.54608369,1.677697396,1.622635152,0.15841952199999998,0.767586483,3.7229413310000004,0.196641785,0.175906817,0.423823224,0.989204015,1.1984051820000001,1.0111941709999999,0.332268748,0.252460403,0.29518607199999997,0.726904056,1.206899456,0.7118705609999999,3.6793069189999996,1.380466165,0.668907657,0.515156049,0.726993155,0.78229123,0.12027324,0.6432831170000001,0.324765009,0.190373507,0.116243253,0.241165811,0.7816170240000001,0.720898348,0.741405427,0.302401892,0.049136448,0.101495109,0.700995505,0.764213308,0.662519277,1.475208681,1.0
60,1.819459489,1.078399254,0.460199025,1.670815945,1.654906615,0.113660569,0.716934631,0.8829626829999999,0.215242868,0.19076505600000002,0.282512826,0.9279495740000001,1.2017823140000001,0.9745526859999999,0.34225361299999996,0.25221968699999997,0.251331869,0.788852934,1.0246131509999998,0.818312325,1.5028845530000001,1.380466165,0.668907657,0.515156049,0.726993155,0.78229123,0.12027324,0.6432831170000001,0.324765009,0.190373507,0.116243253,0.241165811,0.7816170240000001,0.720898348,0.741405427,0.302401892,0.049136448,0.101495109,0.700995505,0.764213308,0.662519277,1.475208681,1.0
90,1.875013856,1.221826759,0.556418304,1.735249194,1.731333615,0.11509623599999999,0.761771105,0.751789884,0.261128395,0.257442932,0.357145486,1.099977257,1.187472511,1.037820341,0.425280961,0.16998783,0.22580284399999997,0.839644449,1.083946871,0.6711922920000001,1.284213842,1.380466165,0.668907657,0.515156049,0.726993155,0.78229123,0.12027324,0.6432831170000001,0.324765009,0.190373507,0.116243253,0.241165811,0.7816170240000001,0.720898348,0.741405427,0.302401892,0.049136448,0.101495109,0.700995505,0.764213308,0.662519277,1.475208681,1.0
120,1.355718477,1.0046789090000001,0.5236885520000001,1.48071044,1.4479995159999999,0.133409211,0.682674213,0.647164807,0.330671399,0.233998175,0.39401097,0.919639758,1.0131224490000001,0.85187176,0.421828792,0.177231389,0.20277872100000002,1.078681761,1.490795116,0.705158305,1.0740126909999999,1.380466165,0.668907657,0.515156049,0.726993155,0.78229123,0.12027324,0.6432831170000001,0.324765009,0.190373507,0.116243253,0.241165811,0.7816170240000001,0.720898348,0.741405427,0.302401892,0.049136448,0.101495109,0.700995505,0.764213308,0.662519277,1.475208681,1.0
