time,FourEBP1pT37_46,AktpS473_obs,AktpT308_obs,ErkpT202_Y204,IRS1pS636_639_obs,PRAS40pS183_obs,PRAS40pT246_obs,S6KpT229_obs,S6KpT389_obs,TSC2pT1462_obs,p38pT180Y182_obs,FourEBP1pT37_46_indep,AktpS473_indep,AktpT308_indep,ErkpT202_Y204_indep,IRS1pS636_639_indep,PRAS40pS183_indep,PRAS40pT246_indep,S6KpT229_indep,S6KpT389_indep,TSC2pT1462_indep,p38pT180Y182_indep,Insulin_indep
0,1.002680813,0.807602431,0.9961548920000001,0.873760225,0.21288563,0.917721023,0.997864273,0.252554177,0.161310646,1.267023086,3.7509579680000003,1.002680813,0.807602431,0.9961548920000001,0.873760225,0.21288563,0.917721023,0.997864273,0.252554177,0.161310646,1.267023086,3.7509579680000003,1.0
15,1.0306606729999999,1.072508542,1.266345255,4.574825056,0.433973622,0.927413294,0.991829745,0.278488943,0.27172394699999997,1.058536916,7.265838241,1.002680813,0.807602431,0.9961548920000001,0.873760225,0.21288563,0.917721023,0.997864273,0.252554177,0.161310646,1.267023086,3.7509579680000003,1.0
30,1.044650473,1.014307726,1.285403272,3.186739707,0.392461127,1.0674487240000001,0.961728218,0.344816086,0.333512127,1.3948896290000001,3.5990187860000002,1.002680813,0.807602431,0.9961548920000001,0.873760225,0.21288563,0.917721023,0.997864273,0.252554177,0.161310646,1.267023086,3.7509579680000003,1.0
60,1.283486014,1.172500045,1.4360879869999998,1.301545035,0.279471139,1.187227468,1.25113936,0.370052145,0.327796669,1.256780234,2.545379345,1.002680813,0.807602431,0.9961548920000001,0.873760225,0.21288563,0.917721023,0.997864273,0.252554177,0.161310646,1.267023086,3.7509579680000003,1.0
90,0.9528594420000001,0.839515075,1.047759579,0.906942625,0.182155769,0.919284537,0.952481145,0.267966744,0.214035009,0.978772821,1.612518417,1.002680813,0.807602431,0.9961548920000001,0.873760225,0.21288563,0.917721023,0.997864273,0.252554177,0.161310646,1.267023086,3.7509579680000003,1.0
120,1.262103097,1.10634418,1.3655647419999999,1.329108155,0.24694697899999998,1.370201794,1.283210316,0.384493679,0.272665838,1.307843644,1.645784916,1.002680813,0.807602431,0.9961548920000001,0.873760225,0.21288563,0.917721023,0.997864273,0.252554177,0.161310646,1.267023086,3.7509579680000003,1.0
