time,FourEBP1pT37_46,AktpS473_obs,AktpT308_obs,ErkpT202_Y204,IRS1pS636_639_obs,PRAS40pS183_obs,PRAS40pT246_obs,S6KpT229_obs,S6KpT389_obs,TSC2pT1462_obs,p38pT180Y182_obs,FourEBP1pT37_46_indep,AktpS473_indep,AktpT308_indep,ErkpT202_Y204_indep,IRS1pS636_639_indep,PRAS40pS183_indep,PRAS40pT246_indep,S6KpT229_indep,S6KpT389_indep,TSC2pT1462_indep,p38pT180Y182_indep,Insulin_indep
0,0.415215193,0.396811574,0.382659675,0.21752512100000002,0.577928465,0.491009882,0.381597743,0.39566654799999995,0.314535682,0.57816272,1.0,0.415215193,0.396811574,0.382659675,0.21752512100000002,0.577928465,0.491009882,0.381597743,0.39566654799999995,0.314535682,0.57816272,1.0,1.0
15,1.0,0.919698562,0.901432821,1.0,0.7952791779999999,0.8972525309999999,0.914896534,0.773752682,0.652786069,0.981399771,0.964995286,0.415215193,0.396811574,0.382659675,0.21752512100000002,0.577928465,0.491009882,0.381597743,0.39566654799999995,0.314535682,0.57816272,1.0,1.0
30,0.7606812340000001,0.797442601,0.73978354,0.541131989,1.0,0.9234436770000001,0.8403541999999999,0.86209577,0.842664462,0.80790634,0.613715968,0.415215193,0.396811574,0.382659675,0.21752512100000002,0.577928465,0.491009882,0.381597743,0.39566654799999995,0.314535682,0.57816272,1.0,1.0
60,0.8205951990000001,0.942775558,1.0,0.473804007,0.9394399840000001,1.0,0.8715559420000001,0.971644273,1.0,0.905600473,0.661266865,0.415215193,0.396811574,0.382659675,0.21752512100000002,0.577928465,0.491009882,0.381597743,0.39566654799999995,0.314535682,0.57816272,1.0,1.0
90,0.763280924,0.94605611,0.879488638,0.311547128,0.724744168,0.790854979,0.833402102,0.854126333,0.854304018,0.848909039,0.658022001,0.415215193,0.396811574,0.382659675,0.21752512100000002,0.577928465,0.491009882,0.381597743,0.39566654799999995,0.314535682,0.57816272,1.0,1.0
120,0.792216198,1.0,0.9771166370000001,0.299944915,0.820507497,0.91505903,1.0,1.0,0.8401858459999999,1.0,0.49037363700000003,0.415215193,0.396811574,0.382659675,0.21752512100000002,0.577928465,0.491009882,0.381597743,0.39566654799999995,0.314535682,0.57816272,1.0,1.0
