,RSS,_kAktDephos,_kAktPhos_kcat,_kAktPhos_km,_kFourEBP1Phos_kcat,_kFourEBP1Phos_km,_kIRS1Dephos_kcat,_kIRS1Dephos_km,_kIRS1Phos_kcat,_kIRS1Phos_km,_kPI3KDephos,_kPI3KPhos_kcat,_kPI3KPhos_km,_kPras40PhosByAkt_kcat,_kPras40PhosByAkt_km,_kS6KPhosS229_kcat,_kS6KPhosS229_km,_kS6KT389Dephos,_kS6KT389Phos_kcat,_kS6KT389Phos_km,_kTSC2Dephos,_kTSC2Phos_kcat,_kTSC2Phos_km,_pPI3K
442,14.3565,0.0001,6634.84,4040.66,262.439,9860.59,0.000309549,1268.55,0.00449181,0.0001,6060.62,0.0757494,4182.35,2067.89,9985.91,2738.67,6849.47,388.579,9203.45,759.056,0.00014927700000000001,9222.86,617.4,277.217
443,14.3566,0.0001,3650.16,2397.94,248.274,9268.59,0.000811807,86.1804,0.00457611,0.0001,2873.95,0.12427,5889.52,1079.68,5133.69,257.058,6213.81,132.951,9896.29,2416.3,0.000606566,7663.43,163.308,143.268
444,14.3568,0.0001,588.224,8377.74,222.215,8313.38,0.00135324,3584.65,0.00455967,0.0001,1466.5,0.0275889,7488.82,1738.0,8661.09,295.991,813.773,133.872,6081.84,1465.52,0.000122705,4511.65,188.142,1609.89
445,14.357000000000001,0.00012900700000000002,3299.83,1791.79,2.0880400000000003,72.42699999999999,0.000279569,1514.78,0.00442351,0.0001,8487.4,0.0215256,548.232,1988.43,9746.99,503.351,1696.19,1393.53,383.61400000000003,4.29552,0.00466018,7370.12,19.3287,351.033
446,14.357000000000001,0.0001,955.938,1331.96,181.93599999999998,6805.21,0.000159701,5413.97,0.00453657,0.0001,5410.58,0.010306000000000001,8926.82,2051.1,9999.82,9584.96,2363.41,387.958,8139.36,680.826,0.000102444,6202.28,10.2942,557.77
447,14.3571,0.00010067799999999999,6118.48,9881.6,27.7956,1032.97,0.00168325,3393.27,0.00441141,0.00011727100000000001,5697.26,0.00123723,5380.58,81.4016,390.611,10000.0,182.926,5111.42,733.4810000000001,0.0304332,0.00011953799999999999,9659.08,127.615,697.546
448,14.3572,0.000102006,265.214,4154.89,28.1853,1048.42,0.00213601,6582.47,0.00460945,0.0001,1994.31,0.0381711,7167.63,606.433,2970.82,81.2702,648.325,669.607,2740.8,129.33700000000002,0.0003142,5039.36,339.36400000000003,2333.74
449,14.3572,0.000101838,169.62,1690.45,4.29035,154.15,0.00017680700000000002,3697.44,0.004645300000000001,0.0001,511.88199999999995,0.000489847,7142.42,1096.43,5296.78,9366.0,1327.98,460.37199999999996,6505.98,457.545,0.00010029200000000001,7381.91,1528.35,380.116
450,14.3573,0.00010651,1043.92,8696.53,187.97799999999998,7028.17,0.00464518,2390.2,0.00467012,0.0001,8237.56,0.934027,9834.57,2011.08,9748.74,813.59,8521.9,7168.93,1018.18,0.00689627,0.000107438,5636.33,2140.85,5132.02
451,14.3575,0.000100114,1959.5,3888.15,242.83900000000003,9112.84,0.00106579,7363.02,0.00416955,0.00010847700000000001,4168.31,0.00879604,7549.0,784.112,3787.39,502.82,50.0669,8365.11,1739.49,2.0795,0.000852945,2138.64,15.1803,619.446
