time	FourE_BP1_obs	FourE_BP1pT37_46_obs	Akt_obs	AktpS473_obs	AktpT308_obs	Coomassie _obs	ER_alpha	ERK_obs	Erk_pT202_Y204_obs	GAPDH_obs	IRS1_obs	IRS1pS636_639_obs	PRAS40_obs	PRAS40pS183_obs	PRAS40pT246_obs	S6K_obs	S6KpT229_obs	S6KpT389_obs	TSC2_obs	TSC2pT1462_obs	p38_obs	p38_pT180_Y182_obs	Insulin_indep	FourE_BP1pT37_46_indep	AktpS473_indep	AktpT308_indep	Coomassie _indep	ER_a_indep	Erk_pT202_Y204_indep	IRS1pS636_639_indep	PRAS40pS183_indep	PRAS40pT246_indep	S6KpT229_indep	S6KpT389_indep	TSC2pT1462_indep	p38_indep	p38_pT180_Y182_indep
0	0.579242421244073	0.7868721070589583	1.4711045815897534	0.37151879583270925	0.5015153302084383	1.0	2.0574769894865614	1.2550623831786236	0.09641276757053353	1.4242980511063241	1.822234221454134	1.030294476156974	1.0629712900293555	0.6494652912495323	0.3464055678831842	1.2270631690582545	0.758809533767142	0.2280509211889299	1.1321107128195416	0.5654777820570792	1.0256965794528323	0.49916655257811693	1	0.7869	0.3715	0.5015	1.0	2.0575	0.0964	1.0303	0.6495	0.3464	0.7588	0.2281	0.5655	1.0257	0.4992
15	0.7335587826741748	1.0215104394913115	1.3499346457460102	0.8653262039223683	0.8850861213224012	1.0	2.1233821134261963	1.1309850913396355	0.8377234655093903	1.8685375627388634	2.1935234265919323	1.4401564326482779	1.0509750558935689	1.0369029090947715	1.1438207906130549	1.4600649904199565	1.4277987650988524	0.943416850020338	1.1922769657419756	1.09262426933269	1.0758468918177808	0.6748674819069795	1	0.7869	0.3715	0.5015	1.0	2.0575	0.0964	1.0303	0.6495	0.3464	0.7588	0.2281	0.5655	1.0257	0.4992
30	0.8390838056659735	1.0436697745770418	1.2693940671421737	0.8503656933760619	0.8461793164189242	1.0	1.8112700560597697	1.085691234939751	0.3555813557640941	1.7622103509260858	1.3766312772810356	1.3967393880637773	1.0578505192402268	0.9853538345792621	1.0482879775100769	1.4455154671075432	1.7523434564970166	1.9122970586557444	1.0463872619083419	0.9704124190586576	1.2723705954027666	0.5757347128539679	1	0.7869	0.3715	0.5015	1.0	2.0575	0.0964	1.0303	0.6495	0.3464	0.7588	0.2281	0.5655	1.0257	0.4992
60	0.6901163901775964	1.052157131196793	1.047011958427727	0.8137961251448761	0.8154060937302812	1.0	1.7420210787620614	1.0638994554853167	0.3300074592299256	1.7060314312481122	1.7177386680559255	1.0936091524720921	0.9906677196957108	0.9270332635726053	1.0596534263062347	1.5087990870635524	2.307162474049147	2.1534330916675906	1.0303337971115176	0.7786116202065896	1.2523379842184126	0.3622304085785661	1	0.7869	0.3715	0.5015	1.0	2.0575	0.0964	1.0303	0.6495	0.3464	0.7588	0.2281	0.5655	1.0257	0.4992
