,Akt,Akt,Akt,Akt,Akt,Akt,AktpT308,AktpT308,AktpT308,AktpT308,AktpT308,AktpT308,AktpS473,AktpS473,AktpS473,AktpS473,AktpS473,AktpS473,PRAS40,PRAS40,PRAS40,PRAS40,PRAS40,PRAS40,PRAS40pT246,PRAS40pT246,PRAS40pT246,PRAS40pT246,PRAS40pT246,PRAS40pT246,PRAS40pS183,PRAS40pS183,PRAS40pS183,PRAS40pS183,PRAS40pS183,PRAS40pS183,S6K,S6K,S6K,S6K,S6K,S6K,S6KpT389,S6KpT389,S6KpT389,S6KpT389,S6KpT389,S6KpT389,S6KpT229,S6KpT229,S6KpT229,S6KpT229,S6KpT229,S6KpT229,TSC2,TSC2,TSC2,TSC2,TSC2,TSC2,TSC2pT1462,TSC2pT1462,TSC2pT1462,TSC2pT1462,TSC2pT1462,TSC2pT1462,IRS1,IRS1,IRS1,IRS1,IRS1,IRS1,IRS1pS636/639,IRS1pS636/639,IRS1pS636/639,IRS1pS636/639,IRS1pS636/639,IRS1pS636/639,4E-BP1,4E-BP1,4E-BP1,4E-BP1,4E-BP1,4E-BP1,4E-BP1pT37/46,4E-BP1pT37/46,4E-BP1pT37/46,4E-BP1pT37/46,4E-BP1pT37/46,4E-BP1pT37/46,GAPDH,GAPDH,GAPDH,GAPDH,GAPDH,GAPDH,ERK,ERK,ERK,ERK,ERK,ERK,mTOR,mTOR,mTOR,mTOR,mTOR,mTOR,rictor,rictor,rictor,rictor,rictor,rictor,raptor,raptor,raptor,raptor,raptor,raptor,PDK1,PDK1,PDK1,PDK1,PDK1,PDK1,PI3K p110,PI3K p110,PI3K p110,PI3K p110,PI3K p110,PI3K p110
,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,AM,AO,AP,AS,AU,AV,,AO,AP,AS,AU,,,AO,AP,AS,AU,,,AO,AP,AS,AU,,,AO,AP,AS,AU,,,AO,AP,AS,AU,
MCF7 ,1.170862536,1.051660448,1.150706683,1.218301976,1.178152492,1.176012019,0.985751634,0.991649936,1.013501291,1.022991008,1.058112331,1.213747116,1.2813675,1.059241256,1.115492076,1.029441797,1.255390908,1.229400493,1.100192693,0.930484387,1.079361465,1.001405204,0.933995871,1.08952955,0.874059413,0.99457278,1.028969494,1.118924261,0.951041275,0.910273194,0.976055208,1.16346884,1.182818426,1.009540991,1.128932426,1.00866274,1.816637584,1.435630351,1.484430795,1.450460337,1.603922638,1.443931266,1.54343689,1.548493835,1.614507358,1.728827265,1.818631502,1.560905533,1.341178701,1.31815963,1.663471969,1.74068248,1.858842813,1.276366713,0.904515976,0.844039307,1.078704368,1.065361672,0.601858534,0.973967441,1.004443975,1.030954608,0.966870647,1.081483309,0.8217492,0.919889982,1.317898436,1.297253958,1.579776833,1.686550189,1.645883754,1.916681352,1.45813645,1.781110034,1.669495091,1.673159387,1.121706876,1.399390112,0.715723797,0.792612636,0.829082704,0.885874333,0.540241656,0.687766898,0.762557782,0.846544946,0.968635391,0.716648525,0.792257558,0.764142165,1.180456113,0.93869123,1.130303871,1.136603852,1.110678912,1.087226026,1.196564961,1.100447106,1.241876388,1.420259465,1.332041927,1.211527604,,0.906157628,0.970700605,0.954176842,1.029082013,,,0.98377128,1.175161844,1.14097522,1.10627198,,,0.75436075,0.718751573,0.93479855,1.029082013,,,1.0620249,1.174875332,1.215277086,1.076470178,,,0.965750456,0.990188417,1.176282535,0.973500069,
ZR-75,0.913715502,0.945982077,1.023665718,0.882972941,0.884786939,0.946527836,0.97455306,0.940401145,1.157043427,0.99258036,1.233351512,0.66484822,0.703859392,0.757545007,0.78896014,0.8850369,0.633358239,0.781215091,0.895037604,0.890896422,0.947708975,1.01613841,0.965988774,0.984271729,0.971775839,0.905043426,0.88173673,0.912180107,0.994941161,0.974512875,0.918301901,0.915466063,0.879882704,0.947203305,0.914912522,0.940143358,0.59368568,0.665760249,0.806071854,0.775118736,0.694887879,0.806970373,0.932699744,0.876593764,0.871425266,0.88807631,0.831537895,0.931278371,0.76694609,0.772765469,0.626219856,0.634435629,0.648957651,0.861528622,0.91022095,0.995991936,0.956988698,0.957678558,0.856095604,0.904682587,0.865266828,0.787558571,0.974007147,0.9798483,0.751857604,0.952257129,0.895012387,0.786933694,0.888767508,0.603159458,0.805268238,0.601617126,0.818599609,0.733128028,0.741035652,0.710135323,0.939589475,0.857082281,0.967749481,0.940626563,1.03674231,0.830258229,1.174837248,0.966425113,0.976241561,1.003187372,0.831762349,0.881596035,1.083065926,1.004332348,1.33499362,1.030533296,1.135547048,1.269003591,1.209549508,1.210103585,0.916372523,0.976363811,0.969983166,0.910092046,0.953001804,0.974090717,,1.062509586,1.102221686,1.093788756,1.279783747,,,0.874191715,0.928043452,0.925631225,0.886592482,,,0.976119059,1.473274168,1.075101508,1.279783747,,,0.865354765,0.847798325,0.810674491,0.89675891,,,0.713282347,0.998485501,0.806410191,0.927966572,
T47D,0.920549163,1.00478639,0.839897879,0.900327679,0.940260189,0.868992455,1.039127885,1.080257957,0.82186954,0.98471632,0.7155838,1.087388583,1.022556261,1.219553545,1.119596257,1.083333281,1.111372881,0.96525343,1.007543324,1.209143395,0.984149181,0.982876163,1.097130303,0.922899047,1.149992125,1.118834671,1.099063765,0.969185282,1.052324519,1.114897889,1.104522507,0.912691283,0.963125059,1.042169917,0.958432884,1.045751095,0.614208258,0.896548887,0.770816068,0.778130255,0.713929549,0.722632915,0.54105817,0.517030024,0.585132346,0.39520474,0.372532084,0.489762309,0.901852879,0.904433149,0.800479289,0.631082947,0.512153471,0.844021305,1.181806544,1.183695006,0.974927479,0.977263073,1.52600042,1.113536032,1.129854886,1.216415617,1.057174776,0.939836946,1.415138361,1.125376079,0.796866602,0.911617417,0.597927718,0.714632433,0.565389105,0.427070777,0.737225629,0.420271346,0.673695456,0.623368191,0.941295006,0.722417823,1.307242959,1.308356586,1.114353057,1.277431981,1.273949354,1.349549027,1.253459998,1.172287183,1.205976536,1.393123066,1.119809012,1.236959492,0.491791124,1.034133743,0.739902666,0.603691272,0.687989207,0.719254847,0.893027986,0.912781601,0.814934172,0.676015457,0.724636829,0.807573875,,1.033540997,0.918191361,0.95337602,0.698273407,,,1.167814433,0.919071516,0.934457692,1.008054057,,,1.310154905,0.751737052,0.990594498,0.698273407,,,1.088509565,1.004164796,0.973836963,1.026952384,,,1.379310949,1.010395531,1.016199455,1.096081365,
