time	FourE_BP1_obs	FourE_BP1pT37_46_obs	Akt_obs	AktpS473_obs	AktpT308_obs	Coomassie _obs	ERK_obs	GAPDH_obs	IRS1_obs	IRS1pS636_639_obs	PRAS40_obs	PRAS40pS183_obs	PRAS40pT246_obs	S6K_obs	S6KpT229_obs	S6KpT389_obs	TSC2_obs	TSC2pT1462_obs	Insulin_indep
107.586207	1.614624	0.940124	2.178684	0.817197	0.700439	1.0	2.047997	1.370386	2.33206	1.670307	1.944689	0.920402	1.025287	2.462235	1.702114	2.06518	1.882421	0.569608	1.0
111.724138	1.619615	0.932596	2.195388	0.834981	0.715479	1.0	2.060532	1.393429	2.412251	1.731534	1.954075	0.944057	1.046139	2.525262	1.742107	2.098514	1.869884	0.573863	1.0
115.862069	1.624606	0.925067	2.212092	0.852765	0.730518	1.0	2.073068	1.416473	2.492442	1.792761	1.963461	0.967713	1.066991	2.588289	1.7821	2.131849	1.857347	0.578119	1.0
120.0	1.629597	0.917538	2.228796	0.870549	0.745558	1.0	2.085603	1.439516	2.572633	1.853988	1.972847	0.991369	1.087842	2.651317	1.822093	2.165184	1.84481	0.582374	1.0

0.0	1.40316	0.414576	2.133232	0.435927	0.391556	1.0	2.541168	1.301162	2.202675	1.061434	1.987094	0.496295	0.385652	3.139543	0.669556	0.585752	2.298082	0.62042	1.0
4.137931	1.42921	0.575647	2.172703	0.594391	0.537992	1.0	2.528496	1.278329	2.142443	1.171555	1.989178	0.609569	0.534332	2.998359	0.846055	0.759521	2.300167	0.739788	1.0
8.275862	1.455261	0.736719	2.212175	0.752854	0.684429	1.0	2.515824	1.255496	2.082211	1.281676	1.991261	0.722842	0.683012	2.857175	1.022553	0.933291	2.302252	0.859156	1.0
12.413793	1.481312	0.89779	2.251646	0.911318	0.830866	1.0	2.503153	1.232663	2.021979	1.391798	1.993344	0.836115	0.831692	2.715991	1.199051	1.107061	2.304337	0.978524	1.0
16.551724	1.50285	0.973741	2.269267	0.996464	0.905278	1.0	2.485392	1.197612	2.03354	1.49952	1.985786	0.909649	0.916824	2.602176	1.324828	1.252247	2.27364	1.03387	1.0
20.689655	1.516864	0.907824	2.25047	0.959414	0.859648	1.0	2.459149	1.142195	2.164754	1.603242	1.962159	0.916952	0.896042	2.533977	1.366068	1.349793	2.188309	0.982512	1.0
24.827586	1.530879	0.841906	2.231672	0.922363	0.814019	1.0	2.432906	1.086779	2.295968	1.706965	1.938533	0.924255	0.87526	2.465778	1.407309	1.447339	2.102978	0.931153	1.0
28.965517	1.544894	0.775989	2.212875	0.885313	0.768389	1.0	2.406663	1.031363	2.427182	1.810687	1.914906	0.931558	0.854479	2.397579	1.448549	1.544886	2.017646	0.879795	1.0
33.103448	1.544176	0.765698	2.210913	0.892567	0.784526	1.0	2.40723	1.01737	2.453894	1.825112	1.91286	0.941389	0.852545	2.399127	1.478036	1.599583	2.001731	0.8778	1.0
37.241379	1.538546	0.77395	2.214562	0.914589	0.821253	1.0	2.416735	1.017185	2.445772	1.80977	1.918007	0.952062	0.856895	2.423924	1.503606	1.639997	2.008954	0.89226	1.0
41.37931	1.532917	0.782201	2.218212	0.936611	0.857979	1.0	2.42624	1.016999	2.43765	1.794429	1.923153	0.962735	0.861244	2.448721	1.529176	1.680411	2.016177	0.90672	1.0
45.517241	1.527287	0.790452	2.221861	0.958633	0.894705	1.0	2.435745	1.016814	2.429528	1.779087	1.9283	0.973408	0.865593	2.473519	1.554746	1.720825	2.0234	0.92118	1.0
