time	FourE_BP1_obs	FourE_BP1pT37_46_obs	Akt_obs	AktpS473_obs	AktpT308_obs	Coomassie _obs	ERK_obs	GAPDH_obs	IRS1_obs	IRS1pS636_639_obs	PRAS40_obs	PRAS40pS183_obs	PRAS40pT246_obs	S6K_obs	S6KpT229_obs	S6KpT389_obs	TSC2_obs	TSC2pT1462_obs	Insulin_indep	FourE_BP1pT37_46_indep	AktpS473_indep	AktpT308_indep	Coomassie _indep	IRS1pS636_639_indep	PRAS40pS183_indep	PRAS40pT246_indep	S6KpT229_indep	S6KpT389_indep	TSC2pT1462_indep
0	1.4172427182854719	0.19979182701153375	2.141252419372052	0.4998106490201695	0.543271518754457	1.0	2.0857680049480365	1.3693958635747803	3.4412161145166977	0.5789932115723816	1.9823954103898662	0.4152127126624393	0.41118473328031857	1.9914483859143641	0.7065460146764784	0.3883455194492781	1.9763537272740193	0.6819543898872346	1	0.1998	0.4998	0.5433	1.0	0.579	0.4152	0.4112	0.7065	0.3883	0.682
15	1.4545105976913797	0.9499448787428361	2.1293519665467384	0.9603643917550028	0.8302397019665669	1.0	2.103149548621704	1.3051372277065796	2.7956731829000203	1.1028645064987277	1.9822350023562776	0.8891325705234268	0.9854863445550281	2.144401974644663	1.1376249468249786	0.8762155040292248	1.9387750234137382	0.8150743195968357	1	0.1998	0.4998	0.5433	1.0	0.579	0.4152	0.4112	0.7065	0.3883	0.682
30	1.8376647783149824	1.089160453517236	2.263417908406754	1.023127615469489	0.9251076378328142	1.0	2.2255487551521873	1.1774351058064605	3.878758134932768	1.698004705076165	1.9785872369967619	1.081026015812978	1.047458375844293	2.6562949819538457	1.5024491883371627	1.6065008073496125	2.1388029611594295	0.9355381917332114	1	0.1998	0.4998	0.5433	1.0	0.579	0.4152	0.4112	0.7065	0.3883	0.682
60	1.7230975457461644	1.0256469134787571	2.285439971166112	1.1094211743770506	0.9665008806004071	1.0	2.3470944941016816	1.2777084061755124	2.2371949788319485	1.914716727462884	1.984484032625799	0.9566656467808636	1.0447150933237668	2.4967800205570336	1.7492956051690536	1.9039497010238748	2.0850576979197895	0.900841421221468	1	0.1998	0.4998	0.5433	1.0	0.579	0.4152	0.4112	0.7065	0.3883	0.682
90	1.6036779369918939	0.9272348707313683	2.306895095259892	1.0042235315868122	0.8719108154680882	1.0	2.2859120312528525	1.3284832072615285	2.905980963652542	1.672428188597728	1.9743693388564525	0.985801680929921	1.0139109967873439	2.520431381139815	1.7527342780350785	2.0730464579922816	2.0539129839813097	0.9607524546807569	1	0.1998	0.4998	0.5433	1.0	0.579	0.4152	0.4112	0.7065	0.3883	0.682
120	1.460031400355044	0.7908468071870429	2.153198622794358	0.8363986999053695	0.8109473719475143	1.0	2.1149467428648205	1.2807460507377837	1.7119900815279578	1.7158663869311348	1.87051102582266	0.8802995730500183	0.8752267395581679	2.204476939869526	1.7852860602610217	1.929904097963609	2.0612320650945635	0.8101677700821847	1	0.1998	0.4998	0.5433	1.0	0.579	0.4152	0.4112	0.7065	0.3883	0.682
