Time	[IRS1]	[IRS1a]	[pIRS1]	[PI3K]	[pPI3K]	[PIP2]	[PIP3]	[PDK1]	[PDK1_PIP3]	[Akt]	[Akt_PIP3]	[pAkt]	[Akti]	[TSC2]	[pTSC2]	[RhebGDP]	[RhebGTP]	[ppPras40]	[mTORC1cyt]	[mTORC1_Pras40cyt]	[mTORC1lys]	[RAG_GDP]	[RAG_GTP]	[mTORC1i]	[mTORC1ii]	[mTORC1iii]	[mTORC1iv]	[FourEBP1]	[pFourEBP1]	[S6K]	[pS6K]	[AMPK]	[pAMPKi]	[pAMPK]	[CaMKK2a]	[CaMKK2]	[LKB1a]	[LKB1]	[RTK]	[pRTK]	[Sos]	[pRTKa]	[Raf]	[pRaf]	[Mek]	[pMek]	[Erk]	[pErk]	[Meki]	[PLCeps]	[pPLCeps]	[IP3]	[DAG]	[IpR]	[IpRa]	[Ca2]	[Rapamycin]	[MK2206]	[RasGDP]	[RasGTP]	[pmTORC1]	[pSos]	Values[Insulin]	Values[AA]	Values[AZD]	Values[EGF]	Values[kIRS1In]	Values[kIRS1Out]	Values[kIRS1Act]	Values[kIRS1Inact]	Values[kIRS1Phos]	Values[kIRS1Dephos]	Values[kPI3KPhos]	Values[kPI3KDephos]	Values[kPIPPhos]	Values[kPIPDephos]	Values[kPDK1BindPIP3]	Values[kPDK1UnbindPIP3]	Values[kAktBindPIP3]	Values[kAktUnbindPIP3]	Values[kAktPhos]	Values[kAktDephos]	Values[kAktBindMK]	Values[kTSC2Phos]	Values[kTSC2Dephos]	Values[kRhebPhos]	Values[kRhebDephos]	Values[kmTORC1BindPras40]	Values[kmTORC1UnbindPras40]	Values[kmTORC1CytToLys]	Values[kmTORC1LysToCyt]	Values[kRAGPhos]	Values[kRAGDephos]	Values[kmTORC1Phos]	Values[kmTORC1Dephos]	Values[kmTORC1BindRapa]	Values[kmTORC1UnbindRapa]	Values[k4EBP1Phos]	Values[k4EBP1Dephos]	Values[kS6KPhos]	Values[kS6KDehos]	Values[kAMPKInhibPhosByAkt]	Values[kAMPKInhibPhosByS6K]	Values[kAMPKDephos]	Values[kAMPKActPhos]	Values[kAMPKActDephos]	Values[kCaMKK2Act]	Values[kCaMKK2Inact]	Values[kLKB1Act]	Values[kLKB1Inact]	Values[kTKRBindEGF]	Values[kTKRUnbindEGF]	Values[kTKRBindSOS]	Values[kTKRUnbindSOS]	Values[kSOSPhos]	Values[kSOSDephos]	Values[kRasLoad]	Values[kRasUnload]	Values[kRafPhos]	Values[kRafDephos]	Values[kMekPhos]	Values[kMekDephos]	Values[kErkPhos]	Values[kErkDephos]	Values[kMekBindAzd]	Values[kMekUnbindAzd]	Values[kPLCPhos]	Values[kPLCDephos]	Values[kPIP2Break]	Values[kPIP2form]	Values[kIP3BindIpR]	Values[kIP3UnbindIpR]	Values[kCa2In]	Values[kCa2Out]
83	9.81193	9.69569	3.36891e-05	0.936131	9.06587	10.0022	0.000125089	10.0007	0.00130956	10.0017	0.00131192	2.13449e-06	0	10.002	4.14341e-05	10.002	0	0.00926805	0.0132675	9.99173	5.48641e-07	10.002	2.24528e-07	0	0	0	0	10.002	5.24729e-07	10.002	5.24729e-07	9.82511	8.32714e-05	0.176809	0.0181056	9.98289	2.48517e-07	10.002	10.001	0	9.89916	0	10.002	2.48517e-07	9.99171	0.0102879	9.99163	0.0103664	0	10.002	2.48517e-07	0.000181645	0.00109827	10.0001	0.00181663	0.00181638	0	0	10.002	0	1.49837e-33	0.102842	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
84	9.81898	9.7071	3.09438e-05	0.935095	9.0669	10.0022	0.000124522	10.0007	0.00130371	10.0017	0.0013059	2.09411e-06	0	10.002	3.9503e-05	10.002	0	0.00925788	0.0132574	9.99174	4.96701e-07	10.002	2.02893e-07	0	0	0	0	10.002	4.74795e-07	10.002	4.74795e-07	9.82501	7.77899e-05	0.176913	0.0181082	9.98289	2.24867e-07	10.002	10.001	0	9.89918	0	10.002	2.24867e-07	9.99172	0.0102775	9.99164	0.0103576	0	10.002	2.24867e-07	0.000181644	0.00109825	10.0001	0.00181661	0.0018164	0	0	10.002	0	5.60676e-34	0.102817	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
85	9.82576	9.71807	2.84164e-05	0.9341	9.0679	10.0022	0.000123958	10.0007	0.00129788	10.0017	0.00129991	2.0561e-06	0	10.002	3.77184e-05	10.002	0	0.00924769	0.0132472	9.99175	4.49676e-07	10.002	1.83342e-07	0	0	0	0	10.002	4.29612e-07	10.002	4.29612e-07	9.82492	7.2749e-05	0.177009	0.0181106	9.98289	2.03468e-07	10.002	10.001	0	9.89921	0	10.002	2.03468e-07	9.99173	0.0102671	9.99165	0.0103487	0	10.002	2.03468e-07	0.000181642	0.00109824	10.0001	0.00181659	0.00181642	0	0	10.002	0	2.03089e-34	0.102785	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
86	9.83229	9.72864	2.60902e-05	0.933144	9.06886	10.0022	0.000123396	10.0007	0.00129207	10.0017	0.00129395	2.02024e-06	0	10.002	3.60686e-05	10.002	0	0.00923748	0.0132371	9.99176	4.07103e-07	10.002	1.65675e-07	0	0	0	0	10.002	3.88729e-07	10.002	3.88729e-07	9.82483	6.81131e-05	0.177098	0.0181127	9.98289	1.84106e-07	10.002	10.001	0	9.89925	0	10.002	1.84106e-07	9.99174	0.0102566	9.99166	0.0103396	0	10.002	1.84106e-07	0.00018164	0.00109822	10.0001	0.00181658	0.00181644	0	0	10.002	0	1.00918e-34	0.102748	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
87	9.83858	9.73881	2.39497e-05	0.932226	9.06977	10.0022	0.000122837	10.0007	0.00128628	10.0017	0.00128802	1.98636e-06	0	10.002	3.45425e-05	10.002	0	0.00922727	0.0132269	9.99177	3.68561e-07	10.002	1.4971e-07	0	0	0	0	10.002	3.51736e-07	10.002	3.51736e-07	9.82476	6.38494e-05	0.177181	0.0181147	9.98289	1.66586e-07	10.002	10.001	0	9.89929	0	10.002	1.66586e-07	9.99175	0.0102462	9.99167	0.0103304	0	10.002	1.66586e-07	0.000181638	0.0010982	10.0001	0.00181656	0.00181645	0	0	10.002	0	7.67775e-35	0.102707	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
88	9.84463	9.7486	2.19807e-05	0.931344	9.07066	10.0022	0.00012228	10.0007	0.00128051	10.0017	0.00128213	1.95427e-06	0	10.002	3.31304e-05	10.002	0	0.00921704	0.0132167	9.99178	3.33666e-07	10.002	1.35285e-07	0	0	0	0	10.002	3.18264e-07	10.002	3.18264e-07	9.82468	5.99278e-05	0.177257	0.0181165	9.98288	1.50733e-07	10.002	10.001	0	9.89934	0	10.002	1.50733e-07	9.99176	0.0102358	9.99168	0.0103211	0	10.002	1.50733e-07	0.000181636	0.00109818	10.0001	0.00181655	0.00181646	0	0	10.002	0	1.65011e-35	0.10266	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
89	9.85045	9.75802	2.01698e-05	0.930497	9.0715	10.0022	0.000121726	10.0007	0.00127475	10.0017	0.00127626	1.92381e-06	0	10.002	3.18228e-05	10.002	0	0.00920681	0.0132065	9.99179	3.02075e-07	10.002	1.22249e-07	0	0	0	0	10.002	2.87977e-07	10.002	2.87977e-07	9.82462	5.63204e-05	0.177327	0.0181181	9.98288	1.36389e-07	10.002	10.001	0	9.89939	0	10.002	1.36389e-07	9.99177	0.0102254	9.99169	0.0103116	0	10.002	1.36389e-07	0.000181635	0.00109816	10.0001	0.00181653	0.00181647	0	0	10.002	0	2.69938e-36	0.102609	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
90	9.85605	9.76709	1.85048e-05	0.929683	9.07232	10.0022	0.000121174	10.0007	0.00126902	10.0017	0.00127043	1.89484e-06	0	10.002	3.06115e-05	10.002	0	0.00919657	0.0131963	9.9918	2.73475e-07	10.002	1.1047e-07	0	0	0	0	10.002	2.60573e-07	10.002	2.60573e-07	9.82455	5.30015e-05	0.177392	0.0181196	9.98288	1.2341e-07	10.002	10.001	0	9.89945	0	10.002	1.2341e-07	9.99179	0.010215	9.9917	0.0103021	0	10.002	1.2341e-07	0.000181633	0.00109814	10.0001	0.00181651	0.00181647	0	0	10.002	0	7.98781e-37	0.102554	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
91	9.86145	9.77582	1.69742e-05	0.928901	9.0731	10.0023	0.000120625	10.0007	0.00126332	10.0017	0.00126462	1.86724e-06	0	10.002	2.94885e-05	10.002	0	0.00918633	0.0131861	9.99181	2.47582e-07	10.002	9.98253e-08	0	0	0	0	10.002	2.35776e-07	10.002	2.35776e-07	9.8245	4.99477e-05	0.177452	0.0181209	9.98288	1.11666e-07	10.002	10.001	0	9.8995	0	10.002	1.11666e-07	9.9918	0.0102046	9.99171	0.0102925	0	10.002	1.11666e-07	0.000181631	0.00109813	10.0001	0.0018165	0.00181647	0	0	10.002	0	2.45365e-37	0.102495	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
92	9.86664	9.78422	1.55676e-05	0.928149	9.07385	10.0023	0.000120078	10.0007	0.00125763	10.0017	0.00125885	1.84088e-06	0	10.002	2.84467e-05	10.002	0	0.00917608	0.0131759	9.99182	2.24141e-07	10.002	9.02067e-08	0	0	0	0	10.002	2.13339e-07	10.002	2.13339e-07	9.82445	4.71373e-05	0.177508	0.0181221	9.98288	1.01039e-07	10.002	10.001	0	9.89957	0	10.002	1.01039e-07	9.99181	0.0101942	9.99172	0.0102828	0	10.002	1.01039e-07	0.000181629	0.00109811	10.0001	0.00181648	0.00181648	0	0	10.002	0	9.20773e-38	0.102433	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
93	9.87164	9.7923	1.42751e-05	0.927427	9.07457	10.0023	0.000119533	10.0007	0.00125196	10.0017	0.0012531	1.81566e-06	0	10.002	2.74795e-05	10.002	0	0.00916582	0.0131656	9.99183	2.02918e-07	10.002	8.15149e-08	0	0	0	0	10.002	1.93037e-07	10.002	1.93037e-07	9.8244	4.45502e-05	0.177559	0.0181232	9.98288	9.14242e-08	10.002	10.001	0	9.89963	0	10.002	9.14242e-08	9.99182	0.0101838	9.99173	0.0102731	0	10.002	9.14242e-08	0.000181627	0.00109809	10.0001	0.00181646	0.00181647	0	0	10.002	0	3.41613e-38	0.102368	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
94	9.87645	9.80009	1.30877e-05	0.926733	9.07527	10.0023	0.000118991	10.0008	0.00124632	10.0018	0.00124739	1.79149e-06	0	10.002	2.65809e-05	10.002	0	0.00915557	0.0131554	9.99184	1.83705e-07	10.002	7.36607e-08	0	0	0	0	10.002	1.74667e-07	10.002	1.74667e-07	9.82435	4.21682e-05	0.177606	0.0181242	9.98288	8.27241e-08	10.002	10.001	0	9.8997	0	10.002	8.27241e-08	9.99183	0.0101735	9.99174	0.0102633	0	10.002	8.27241e-08	0.000181626	0.00109807	10.0001	0.00181644	0.00181647	0	0	10.002	0	1.32061e-38	0.1023	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
95	9.88108	9.80758	1.19972e-05	0.926067	9.07593	10.0023	0.000118452	10.0008	0.0012407	10.0018	0.0012417	1.76827e-06	0	10.002	2.57452e-05	10.002	0	0.00914532	0.0131451	9.99185	1.66311e-07	10.002	6.65634e-08	0	0	0	0	10.002	1.58045e-07	10.002	1.58045e-07	9.82431	3.99744e-05	0.177649	0.0181251	9.98287	7.48518e-08	10.002	10.001	0	9.89977	0	10.002	7.48518e-08	9.99184	0.0101631	9.99175	0.0102535	0	10.002	7.48518e-08	0.000181624	0.00109805	10.0001	0.00181643	0.00181647	0	0	10.002	0	6.27967e-39	0.102229	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
96	9.88553	9.81479	1.09958e-05	0.925426	9.07657	10.0023	0.000117914	10.0008	0.0012351	10.0018	0.00123604	1.74592e-06	0	10.002	2.49674e-05	10.002	0	0.00913506	0.0131349	9.99186	1.50563e-07	10.002	6.01499e-08	0	0	0	0	10.002	1.43005e-07	10.002	1.43005e-07	9.82427	3.79533e-05	0.177689	0.0181259	9.98287	6.77287e-08	10.002	10.001	0	9.89984	0	10.002	6.77287e-08	9.99185	0.0101528	9.99176	0.0102436	0	10.002	6.77287e-08	0.000181622	0.00109803	10.0001	0.00181641	0.00181646	0	0	10.002	0	1.9831e-39	0.102155	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
97	9.88982	9.82173	1.00765e-05	0.924809	9.07719	10.0023	0.000117379	10.0008	0.00122953	10.0018	0.0012304	1.72439e-06	0	10.002	2.42428e-05	10.002	0	0.00912481	0.0131247	9.99188	1.36307e-07	10.002	5.43545e-08	0	0	0	0	10.002	1.29397e-07	10.002	1.29397e-07	9.82424	3.60907e-05	0.177726	0.0181266	9.98287	6.12835e-08	10.002	10.001	0	9.89992	0	10.002	6.12835e-08	9.99186	0.0101424	9.99177	0.0102336	0	10.002	6.12835e-08	0.00018162	0.00109801	10.0001	0.00181639	0.00181646	0	0	10.002	0	1.24906e-39	0.10208	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
98	9.89395	9.82841	9.23261e-06	0.924217	9.07778	10.0023	0.000116847	10.0008	0.00122397	10.0018	0.0012248	1.70359e-06	0	10.002	2.3567e-05	10.002	0	0.00911456	0.0131144	9.99189	1.234e-07	10.002	4.91175e-08	0	0	0	0	10.002	1.17083e-07	10.002	1.17083e-07	9.82421	3.43734e-05	0.17776	0.0181273	9.98287	5.54516e-08	10.002	10.001	0	9.9	0	10.002	5.54516e-08	9.99187	0.0101321	9.99178	0.0102237	0	10.002	5.54516e-08	0.000181618	0.00109799	10.0001	0.00181637	0.00181645	0	0	10.002	0	4.79986e-40	0.102002	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
99	9.89793	9.83484	8.45817e-06	0.923648	9.07835	10.0023	0.000116317	10.0008	0.00121844	10.0018	0.00121922	1.68347e-06	0	10.002	2.2936e-05	10.002	0	0.00910431	0.0131042	9.9919	1.11715e-07	10.002	4.43851e-08	0	0	0	0	10.002	1.05941e-07	10.002	1.05941e-07	9.82418	3.27895e-05	0.177792	0.0181279	9.98287	5.01747e-08	10.002	10.001	0	9.90008	0	10.002	5.01747e-08	9.99188	0.0101218	9.99179	0.0102137	0	10.002	5.01747e-08	0.000181616	0.00109797	10.0001	0.00181636	0.00181644	0	0	10.002	0	1.90504e-40	0.101922	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
100	9.90175	9.84103	7.74758e-06	0.923101	9.0789	10.0024	0.000115789	10.0008	0.00121294	10.0018	0.00121367	1.66399e-06	0	10.002	2.23462e-05	10.002	0	0.00909406	0.013094	9.99191	1.01137e-07	10.002	4.01088e-08	0	0	0	0	10.002	9.58593e-08	10.002	9.58593e-08	9.82415	3.13279e-05	0.17782	0.0181284	9.98287	4.53999e-08	10.002	10.001	0	9.90016	0	10.002	4.53999e-08	9.99189	0.0101116	9.9918	0.0102036	0	10.002	4.53999e-08	0.000181615	0.00109795	10.0001	0.00181634	0.00181643	0	0	10.002	0	7.15565e-41	0.101841	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
101	9.90543	9.84699	7.09568e-06	0.922575	9.07943	10.0024	0.000115264	10.0008	0.00120745	10.0018	0.00120814	1.64508e-06	0	10.002	2.17943e-05	10.002	0	0.00908382	0.0130837	9.99192	9.15597e-08	10.002	3.62445e-08	0	0	0	0	10.002	8.67371e-08	10.002	8.67371e-08	9.82412	2.99785e-05	0.177847	0.0181288	9.98287	4.10796e-08	10.002	10.001	0	9.90024	0	10.002	4.10796e-08	9.9919	0.0101013	9.99181	0.0101936	0	10.002	4.10796e-08	0.000181613	0.00109793	10.0001	0.00181632	0.00181642	0	0	10.002	0	2.68331e-41	0.101758	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
102	9.90898	9.85272	6.49775e-06	0.922069	9.07993	10.0024	0.000114741	10.0008	0.00120199	10.0018	0.00120265	1.62671e-06	0	10.002	2.12772e-05	10.002	0	0.00907358	0.0130735	9.99193	8.28896e-08	10.002	3.27525e-08	0	0	0	0	10.002	7.84831e-08	10.002	7.84831e-08	9.8241	2.8732e-05	0.177871	0.0181292	9.98287	3.71704e-08	10.002	10.001	0	9.90033	0	10.002	3.71704e-08	9.99191	0.0100911	9.99182	0.0101835	0	10.002	3.71704e-08	0.000181611	0.00109791	10.0001	0.0018163	0.00181641	0	0	10.002	0	9.82237e-42	0.101673	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
103	9.91239	9.85824	5.9494e-06	0.921583	9.08042	10.0024	0.00011422	10.0008	0.00119655	10.0018	0.00119717	1.60884e-06	0	10.002	2.0792e-05	10.002	0	0.00906334	0.0130633	9.99194	7.50403e-08	10.002	2.9597e-08	0	0	0	0	10.002	7.10144e-08	10.002	7.10144e-08	9.82408	2.75798e-05	0.177893	0.0181296	9.98287	3.36331e-08	10.002	10.001	0	9.90041	0	10.002	3.36331e-08	9.99192	0.0100808	9.99183	0.0101734	0	10.002	3.36331e-08	0.000181609	0.00109789	10.0001	0.00181629	0.0018164	0	0	10.002	0	3.54483e-42	0.101587	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
